station,Phasenet_pick_time,EQTransformer_pick_time,Phasenet_pick_score,QTransformer_pick_score
BNGB,03:17:35.220,03:17:35.230,0.9617277,0.67
BNGB,03:18:54.040,03:18:54.190,0.49795082,0.6
BNGB,03:43:05.160,03:43:05.000,0.71471083,0.81
BNGB,03:44:04.360,03:44:04.290,0.52777654,0.86
BNGB,03:44:14.800,03:44:14.650,0.95076185,0.14
BNGB,03:50:08.180,03:50:08.280,0.30250943,0.58
BNGB,03:54:22.330,03:54:22.280,0.91612005,0.83
BNGB,03:54:36.390,03:54:36.000,0.6740077,0.65
BNGB,04:02:07.650,04:02:07.840,0.60939795,0.19
BNGB,04:04:25.000,04:04:25.000,0.9329258,0.95
BNGB,04:15:51.250,04:15:51.010,0.35555282,0.56
BNGB,04:23:19.770,04:23:19.830,0.4280114,0.81
BNGB,04:30:04.280,04:30:03.970,0.2818389,0.16
BNGB,04:31:51.660,04:31:51.730,0.51040334,0.82
BNGB,04:33:52.920,04:33:52.840,0.9705453,0.94
BNGB,04:37:20.930,04:37:21.080,0.6886825,0.75
BNGB,04:37:53.070,04:37:52.910,0.40843382,0.48
BNGB,04:40:21.590,04:40:21.990,0.26951957,0.27
BNGB,04:48:08.280,04:48:08.310,0.5895559,0.78
BNGB,04:54:20.490,04:54:20.290,0.30632842,0.29
BNGB,04:55:30.530,04:55:30.520,0.9837714,0.82
BNGB,05:00:52.960,05:00:52.990,0.51775897,0.6
BNGB,05:01:27.250,05:01:27.280,0.37271225,0.9
BNGB,05:02:33.060,05:02:33.000,0.30593526,0.91
BNGB,05:06:28.870,05:06:28.730,0.36209995,0.54
BNGB,05:10:40.040,05:10:40.000,0.38865522,0.32
BNGB,05:28:18.600,05:28:18.640,0.9932421,0.84
BNGB,05:29:38.680,05:29:38.720,0.4866484,0.9
BNGB,05:36:18.950,05:36:19.000,0.9758235,0.93
BNGB,05:38:50.150,05:38:50.280,0.34279534,0.79
BNGB,05:45:06.810,05:45:06.870,0.87885,0.8
BNGB,05:53:21.310,05:53:21.360,0.45746255,0.6
BNGB,06:11:37.060,06:11:37.000,0.41400543,0.94
BNGB,06:13:05.580,06:13:05.720,0.29555959,0.36
BNGB,06:18:08.200,06:18:08.270,0.36978564,0.82
BNGB,06:24:31.980,06:24:31.950,0.37417138,0.77
BNGB,06:26:53.750,06:26:53.000,0.47316974,0.57
BNGB,06:30:36.700,06:30:37.000,0.29996145,0.86
BNGB,06:37:18.990,06:37:18.990,0.3681923,0.72
BNGB,06:38:19.070,06:38:19.000,0.93205094,0.89
BNGB,06:53:07.970,06:53:07.900,0.45691764,0.62
BNGB,07:02:34.440,07:02:34.440,0.9903334,0.85
BNGB,07:06:17.930,07:06:17.930,0.6652188,0.79
BNGB,07:11:05.220,07:11:05.000,0.44329578,0.3
BNGB,07:19:46.590,07:19:47.000,0.46733302,0.92
BNGB,07:21:21.290,07:21:21.000,0.45279232,0.87
BNGB,07:22:22.890,07:22:23.000,0.4600221,0.96
BNGB,07:31:36.000,07:31:36.000,0.30754635,0.94
BNGB,07:36:27.220,07:36:27.240,0.9868852,0.74
BNGB,07:37:27.250,07:37:27.000,0.48469353,0.85
BNGB,07:47:19.890,07:47:20.090,0.3435061,0.47
BNGB,07:48:09.530,07:48:09.520,0.9936489,0.81
BNGB,07:49:31.530,07:49:31.600,0.8812036,0.82
BNGB,07:50:01.610,07:50:01.710,0.97728103,0.9
BNGB,07:50:57.690,07:50:57.730,0.9723469,0.62
BNGB,07:57:26.900,07:57:26.960,0.93906665,0.83
BNGB,07:59:26.130,07:59:26.190,0.81143725,0.66
BNGB,08:00:35.980,08:00:36.040,0.5049825,0.52
BNGB,08:01:11.430,08:01:11.000,0.75523555,0.57
BNGB,08:02:32.850,08:02:32.840,0.96178806,0.69
BNGB,08:03:21.890,08:03:21.950,0.98853093,0.72
BNGB,08:05:18.890,08:05:19.000,0.47516474,0.94
BNGB,08:10:53.030,08:10:53.000,0.3753017,0.9
BNGB,08:13:54.780,08:13:54.730,0.72547656,0.79
BNGB,08:14:35.620,08:14:35.270,0.33100462,0.32
BNGB,08:19:33.380,08:19:33.280,0.5996905,0.87
BNGB,08:20:30.690,08:20:30.680,0.8162272,0.82
BNGB,08:24:54.410,08:24:54.070,0.3789161,0.18
BNGB,08:24:54.410,08:24:54.200,0.3789161,0.4
BNGB,08:31:23.820,08:31:23.740,0.9941432,0.8
BNGB,08:31:54.660,08:31:54.750,0.98161846,0.85
BNGB,08:37:04.640,08:37:04.570,0.55851245,0.4
BNGB,08:42:36.290,08:42:36.260,0.90089965,0.67
BNGB,08:43:21.810,08:43:22.010,0.8626566,0.91
BNGB,08:50:54.930,08:50:55.000,0.2913078,0.83
BNGB,08:51:40.120,08:51:40.000,0.4422833,0.95
BNGB,09:01:20.210,09:01:19.390,0.30866215,0.36
BNGB,09:02:09.480,09:02:09.000,0.39531362,0.82
BNGB,09:02:37.600,09:02:37.630,0.49396574,0.4
BNGB,09:10:23.690,09:10:23.010,0.4970005,0.26
BNGB,09:11:38.690,09:11:38.810,0.630525,0.23
BNGB,09:21:28.910,09:21:28.910,0.8183939,0.62
BNGB,09:28:34.550,09:28:34.550,0.94988513,0.66
BNGB,09:33:47.380,09:33:47.730,0.6318297,0.61
BNGB,09:49:00.640,09:49:01.000,0.8363012,0.9
BNGB,09:57:13.880,09:57:14.010,0.31509113,0.71
BNGB,09:58:40.750,09:58:40.290,0.53722453,0.19
BNGB,10:05:34.950,10:05:34.780,0.4437736,0.32
BNGB,10:07:02.470,10:07:02.280,0.8572305,0.74
BNGB,10:16:45.900,10:16:46.010,0.8460075,0.74
BNGB,10:21:08.510,10:21:08.570,0.968029,0.84
BNGB,10:22:31.730,10:22:31.000,0.65071857,0.66
BNGB,11:18:36.300,11:18:36.970,0.80662584,0.14
BNGB,12:26:51.590,12:26:51.590,0.44742128,0.83
BNGB,12:34:44.950,12:34:44.980,0.9728009,0.72
BNGB,12:45:11.240,12:45:11.000,0.45027903,0.93
BNGB,12:45:54.100,12:45:54.240,0.45745176,0.76
BNGB,12:52:28.150,12:52:28.010,0.4271155,0.82
BNGB,12:53:22.890,12:53:22.730,0.5405486,0.72
BNGB,13:18:11.620,13:18:11.610,0.43019646,0.58
BNGB,13:30:40.910,13:30:40.740,0.36312634,0.51
BNGB,13:32:08.260,13:32:08.280,0.5311944,0.93
BNGB,13:51:48.220,13:51:48.120,0.7545183,0.91
BNGB,13:53:25.810,13:53:25.910,0.6029818,0.67
BNGB,14:00:06.380,14:00:06.430,0.991525,0.82
BNGB,14:16:51.800,14:16:51.810,0.98525155,0.86
BNGB,14:20:06.360,14:20:07.000,0.34404966,0.36
BNGB,14:22:26.490,14:22:26.690,0.40088785,0.58
BNGB,14:37:52.310,14:37:52.320,0.45465037,0.78
BNGB,14:40:30.210,14:40:30.230,0.62661135,0.6
BNGB,14:44:20.650,14:44:20.990,0.27956977,0.33
BNGB,14:45:22.770,14:45:22.750,0.9068463,0.64
BNGB,14:46:11.200,14:46:11.230,0.4740497,0.73
BNGB,14:47:07.050,14:47:07.000,0.9893388,0.96
BNGB,14:51:36.000,14:51:36.270,0.55192375,0.38
BNGB,14:53:44.360,14:53:44.280,0.49147034,0.89
BNGB,14:54:43.110,14:54:43.000,0.40043074,0.94
BNGB,14:57:43.200,14:57:43.250,0.4907925,0.62
BNGB,15:01:45.310,15:01:45.340,0.7971984,0.59
BNGB,15:07:05.210,15:07:05.240,0.854815,0.48
