station,Phasenet-EQCCT_Average_pick_time,EQTransformer_pick_time,EQTransformer_pick_score,Phasenet_score,EQCCT_score
CEYT,09:12:02.000,09:12:02.060,0.94,0.6372152,0.469
CEYT,09:12:02.000,09:12:02.090,0.94,0.6372152,0.631
CEYT,09:12:02.000,09:12:02.100,0.94,0.6372152,0.599
CHOM,03:19:17.820,03:19:18.240,0.25,0.43413585,0.422
CHOM,03:19:17.820,03:19:18.240,0.25,0.43413585,0.345
CHOM,03:19:17.820,03:19:18.280,0.25,0.43413585,0.429
CHOM,03:19:17.820,03:19:18.280,0.25,0.43413585,0.635
CHOM,03:19:17.820,03:19:18.290,0.25,0.43413585,0.592
CORM,14:25:50.060,14:25:49.875,0.5,0.27236658,0.224
CORM,14:25:50.060,14:25:49.875,0.5,0.27236658,0.367
DARE,09:09:37.000,09:09:37.590,0.57,0.3273939,0.18
DARE,09:12:09.000,09:12:08.240,0.68,0.5918102,0.821
DARE,09:12:09.000,09:12:08.385,0.68,0.5918102,0.194
DARE,09:12:09.000,09:12:08.555,0.68,0.5918102,0.438
DARE,09:21:15.000,09:21:14.865,0.87,0.9178511,0.157
DARE,09:21:15.000,09:21:14.890,0.87,0.9178511,0.315
DARE,09:21:15.000,09:21:14.910,0.87,0.9178511,0.499
DARE,09:28:37.000,09:28:37.255,0.82,0.28709462,0.183
DARE,09:28:37.000,09:28:37.305,0.82,0.28709462,0.303
DARE,09:29:45.420,09:29:45.260,0.18,0.3594328,0.793
DARE,09:29:45.420,09:29:45.485,0.18,0.3594328,0.502
DARE,09:29:45.420,09:29:45.485,0.18,0.3594328,0.468
DARE,09:29:45.420,09:29:45.490,0.18,0.3594328,0.15
DARE,09:35:35.790,09:35:35.855,0.17,0.4204997,0.476
DARE,09:35:35.790,09:35:35.865,0.17,0.4204997,0.206
DARE,09:35:35.790,09:35:35.870,0.17,0.4204997,0.394
DARE,09:35:35.790,09:35:35.870,0.17,0.4204997,0.388
DARE,09:44:10.000,09:44:10.020,0.93,0.59800994,0.965
DARE,09:44:10.000,09:44:10.035,0.93,0.59800994,0.584
DARE,09:44:10.000,09:44:10.060,0.93,0.59800994,0.105
DARE,09:57:36.370,09:57:36.055,0.12,0.41185948,0.615
DARE,09:57:36.370,09:57:36.135,0.12,0.41185948,0.655
DARE,09:57:36.370,09:57:36.135,0.12,0.41185948,0.453
DKL ,14:01:03.000,14:01:02.725,0.71,0.2807775,0.593
DKL ,14:01:03.000,14:01:02.740,0.71,0.2807775,0.146
DKL ,14:01:03.000,14:01:02.745,0.71,0.2807775,0.521
ERZN,09:20:59.250,09:20:59.440,0.64,0.99515754,0.911
ERZN,09:20:59.250,09:20:59.440,0.64,0.99515754,0.914
ERZN,09:20:59.250,09:20:59.445,0.64,0.99515754,0.908
ERZN,09:20:59.250,09:20:59.450,0.64,0.99515754,0.915
ERZN,09:20:59.250,09:20:59.775,0.64,0.99515754,0.228
ERZN,09:48:56.990,09:48:57.255,0.78,0.85751283,0.694
ERZN,09:48:56.990,09:48:57.515,0.78,0.85751283,0.654
ERZN,09:48:56.990,09:48:57.515,0.78,0.85751283,0.663
ERZN,09:48:56.990,09:48:57.515,0.78,0.85751283,0.52
GAZ ,09:00:10.440,09:00:10.380,0.78,0.3070713,0.725
