station,Phasenet-EQCCT_Average_pick_time,Kandilli_pick_time,Phasenet_score,EQCCT_score
SARI,09:36:38.900,09:36:38.830,0.72195965,0.758
SARI,09:36:38.900,09:36:38.895,0.72195965,0.641
SARI,09:44:24.300,09:44:24.780,0.27518407,0.168
SARI,09:44:24.300,09:44:24.795,0.27518407,0.166
SARI,09:44:24.300,09:44:24.795,0.27518407,0.394
SILT,08:32:20.300,08:32:20.125,0.34007606,0.764
SILT,08:32:20.300,08:32:20.190,0.34007606,0.377
SILT,08:32:20.300,08:32:20.190,0.34007606,0.388
URFA,14:10:34.900,14:10:35.795,0.38793367,0.391
URFA,14:10:34.900,14:10:35.805,0.38793367,0.464
URFA,14:10:34.900,14:10:35.875,0.38793367,0.794
URFA,14:27:34.500,14:27:34.695,0.27406734,0.27
URFA,14:27:34.500,14:27:34.695,0.27406734,0.287
URFA,14:27:34.500,14:27:34.710,0.27406734,0.237
URFA,14:38:50.700,14:38:50.765,0.32753706,0.453
URFA,14:51:29.500,14:51:30.170,0.77028483,0.829
URFA,14:51:29.500,14:51:30.370,0.77028483,0.209
URFA,14:51:29.500,14:51:30.375,0.77028483,0.388
URFA,14:51:29.500,14:51:30.375,0.77028483,0.596
URFA,14:51:29.500,14:51:30.375,0.77028483,0.394
URFA,14:58:07.600,14:58:08.225,0.6834258,0.724
URFA,14:58:07.600,14:58:08.490,0.6834258,0.528
URFA,14:58:07.600,14:58:08.490,0.6834258,0.615
URFA,14:58:07.600,14:58:08.490,0.6834258,0.443
YAYX,14:45:27.900,14:45:28.645,0.40117577,0.591
YAYX,14:45:27.900,14:45:28.650,0.40117577,0.582
YAYX,14:45:27.900,14:45:28.650,0.40117577,0.597
YAYX,14:45:27.900,14:45:28.650,0.40117577,0.56
