station,EQCCT-EQTransformer_Average_pick_time,Kandilli_pick_time,EQCCT_score,EQTransformer_score
SARI,09:24:11.900,09:24:12.540,0.601,0.14
SARI,09:36:38.900,09:36:38.915,0.651,0.77
SARI,09:36:38.900,09:36:38.915,0.815,0.77
SARI,09:36:38.900,09:36:38.915,0.758,0.77
SARI,09:36:38.900,09:36:38.980,0.641,0.77
SARI,09:58:53.700,09:58:54.500,0.551,0.55
SARI,09:58:53.700,09:58:54.565,0.2,0.55
SAUV,09:53:15.400,09:53:16.060,0.557,0.44
SAUV,09:53:15.400,09:53:16.125,0.744,0.44
SAUV,09:53:15.400,09:53:16.125,0.721,0.44
SAUV,09:53:15.400,09:53:16.130,0.756,0.44
SILT,08:32:20.300,08:32:20.150,0.764,0.32
SILT,08:32:20.300,08:32:20.215,0.377,0.32
SILT,08:32:20.300,08:32:20.215,0.388,0.32
TAHT,05:06:47.100,05:06:46.680,0.129,0.31
URFA,14:03:30.300,14:03:31.000,0.884,0.63
URFA,14:03:30.300,14:03:31.020,0.279,0.63
URFA,14:03:30.300,14:03:31.020,0.353,0.63
URFA,14:21:10.200,14:21:11.040,0.792,0.55
URFA,14:21:10.200,14:21:11.040,0.771,0.55
URFA,14:21:10.200,14:21:11.045,0.584,0.55
URFA,14:21:10.200,14:21:11.055,0.703,0.55
URFA,14:23:02.400,14:23:02.275,0.324,0.4
URFA,14:23:02.400,14:23:02.275,0.632,0.4
URFA,14:23:02.400,14:23:02.290,0.66,0.4
URFA,14:27:34.500,14:27:34.940,0.27,0.85
URFA,14:27:34.500,14:27:34.940,0.287,0.85
URFA,14:27:34.500,14:27:34.955,0.237,0.85
URFA,14:33:26.200,14:33:26.065,0.212,0.31
URFA,14:33:26.200,14:33:26.215,0.308,0.31
URFA,14:51:29.500,14:51:30.230,0.829,0.4
URFA,14:51:29.500,14:51:30.430,0.209,0.4
URFA,14:51:29.500,14:51:30.435,0.388,0.4
URFA,14:51:29.500,14:51:30.435,0.596,0.4
URFA,14:51:29.500,14:51:30.435,0.394,0.4
URFA,14:58:07.600,14:58:08.355,0.724,0.44
VRTB,01:48:01.300,01:48:01.025,0.382,0.96
VRTB,01:48:01.300,01:48:01.070,0.36,0.96
VRTB,01:48:01.300,01:48:01.120,0.593,0.96
YAYX,14:45:27.900,14:45:28.690,0.591,0.89
YAYX,14:45:27.900,14:45:28.695,0.582,0.89
YAYX,14:45:27.900,14:45:28.695,0.597,0.89
YAYX,14:45:27.900,14:45:28.695,0.56,0.89
