station,Phasenet_pick_time,EQCCT_pick_time,Phasenet_pick_score,EQCCT_pick_score
BODT,16:21:41.370,16:21:41.390,0.49517235,0.695
CANT,09:30:36.570,09:30:36.530,0.47459555,0.454
CANT,09:30:36.570,09:30:36.530,0.47459555,0.486
CANT,09:30:36.570,09:30:36.530,0.47459555,0.324
CANT,09:30:36.570,09:30:36.530,0.47459555,0.62
CEYT,09:01:48.640,09:01:48.000,0.37013486,0.185
CEYT,09:01:48.640,09:01:48.500,0.37013486,0.454
CEYT,09:01:48.640,09:01:48.530,0.37013486,0.386
CEYT,09:01:48.640,09:01:48.530,0.37013486,0.527
CEYT,09:05:36.240,09:05:36.290,0.357506,0.388
CEYT,09:05:36.240,09:05:36.290,0.357506,0.465
CEYT,09:05:36.240,09:05:36.290,0.357506,0.513
CEYT,09:12:02.070,09:12:02.000,0.6372152,0.936
CEYT,09:12:02.070,09:12:02.050,0.6372152,0.469
CEYT,09:12:02.070,09:12:02.110,0.6372152,0.631
CEYT,09:12:02.070,09:12:02.130,0.6372152,0.599
CEYT,09:18:23.060,09:18:23.150,0.27019462,0.122
CEYT,09:18:23.060,09:18:23.180,0.27019462,0.181
CEYT,09:23:56.790,09:23:56.840,0.9216128,0.28
CEYT,09:23:56.790,09:23:56.930,0.9216128,0.378
CEYT,09:23:56.790,09:23:57.000,0.9216128,0.763
CEYT,09:35:45.310,09:35:44.950,0.28212464,0.275
CEYT,09:35:45.310,09:35:45.310,0.28212464,0.444
CEYT,09:35:45.310,09:35:45.370,0.28212464,0.553
CEYT,09:35:45.310,09:35:45.450,0.28212464,0.666
CEYT,09:36:33.830,09:36:33.940,0.68372643,0.322
CEYT,09:36:33.830,09:36:33.980,0.68372643,0.331
CEYT,09:36:33.830,09:36:34.000,0.68372643,0.942
CHOM,03:19:18.290,03:19:18.190,0.43413585,0.422
CHOM,03:19:18.290,03:19:18.190,0.43413585,0.345
CHOM,03:19:18.290,03:19:18.270,0.43413585,0.429
CHOM,03:19:18.290,03:19:18.270,0.43413585,0.635
CHOM,03:19:18.290,03:19:18.290,0.43413585,0.592
CLDR,09:21:38.630,09:21:38.000,0.33827695,0.129
CLDR,09:24:07.730,09:24:07.750,0.77912486,0.897
CLDR,09:24:07.730,09:24:07.750,0.77912486,0.902
CLDR,09:24:07.730,09:24:07.770,0.77912486,0.899
CLDR,09:24:07.730,09:24:07.770,0.77912486,0.9
CLDR,09:24:07.730,09:24:07.770,0.77912486,0.882
