station,Phasenet-EQTransformer_Average_pick_time,Kandilli_pick_time,Phasenet_score,EQTransformer_score
DARE,16:25:18.400,16:25:19.155,0.3113554,0.93
DARE,16:41:24.900,16:41:24.860,0.48297313,0.86
DARE,16:49:31.600,16:49:31.135,0.62661886,0.91
DARE,16:52:07.200,16:52:06.875,0.8682662,0.77
DARE,17:04:53.600,17:04:52.995,0.3701946,0.95
DARE,17:11:57.100,17:11:57.105,0.7015234,0.66
DARE,17:19:17.300,17:19:17.245,0.9771452,0.6
DARE,17:26:39.900,17:26:40.215,0.6459069,0.68
DARE,17:35:19.600,17:35:19.945,0.3945136,0.71
DARE,17:46:58.700,17:46:58.660,0.5468736,0.65
DARE,17:51:36.600,17:51:36.965,0.97606003,0.92
DARE,18:03:00.100,18:02:59.815,0.88494223,0.8
DARE,18:15:38.300,18:15:37.930,0.4565359,0.84
DARE,18:26:57.100,18:26:56.680,0.5381255,0.86
DARE,18:44:13.100,18:44:12.925,0.39363846,0.8
DARE,18:48:59.600,18:48:59.480,0.88635683,0.39
DARE,19:12:40.900,19:12:41.030,0.7665764,0.93
DARE,19:16:06.200,19:16:05.355,0.32484475,0.35
DARE,19:19:08.300,19:19:08.290,0.61878896,0.89
DARE,19:31:08.900,19:31:09.125,0.8087709,0.31
DARE,19:40:29.200,19:40:29.095,0.9186409,0.96
DARE,19:43:51.800,19:43:51.635,0.95942295,0.61
DARE,19:48:14.700,19:48:14.540,0.27459908,0.38
DARE,20:05:32.200,20:05:32.265,0.92125446,0.9
DARE,20:11:59.300,20:11:58.995,0.8664707,0.96
DARE,20:13:20.200,20:13:20.190,0.94323254,0.79
DARE,20:14:29.500,20:14:29.025,0.44213387,0.55
DARE,20:19:06.000,20:19:06.135,0.6633949,0.24
DARE,20:21:03.500,20:21:03.005,0.9179681,0.36
DARE,20:22:12.900,20:22:12.880,0.5093134,0.87
DARE,20:28:22.100,20:28:22.095,0.55880797,0.67
DARE,20:33:24.200,20:33:23.700,0.2881223,0.43
DARE,20:35:14.100,20:35:13.970,0.9421972,0.9
DARE,20:36:05.400,20:36:04.930,0.5275189,0.34
DARE,20:40:16.200,20:40:16.020,0.91878104,0.78
DARE,21:01:06.600,21:01:05.720,0.531165,0.5
DARE,21:05:25.900,21:05:25.095,0.4193458,0.86
DARE,21:15:29.100,21:15:28.780,0.8829378,0.46
DARE,21:17:50.600,21:17:50.590,0.79384124,0.34
DARE,21:19:58.500,21:19:58.195,0.93892366,0.52
DARE,21:28:20.900,21:28:20.140,0.85584706,0.43
DARE,22:01:24.500,22:01:23.735,0.48630458,0.56
DARE,22:10:04.400,22:10:03.725,0.27953187,0.91
DARE,22:11:46.800,22:11:46.350,0.7674039,0.47
DARE,22:14:11.700,22:14:11.780,0.82874405,0.48
DARE,22:20:04.600,22:20:04.425,0.87491167,0.38
DARE,22:28:12.700,22:28:12.645,0.61447287,0.62
DARE,22:29:57.600,22:29:56.720,0.27538803,0.82
DARE,22:34:31.400,22:34:31.375,0.9466052,0.75
