station,Phasenet_pick_time,Kandilli_pick_time,Phasenet_pick_score
DARE,06:28:06.020,06:28:06.200,0.2854659
DARE,07:06:50.270,07:06:50.100,0.33321178
DARE,07:09:07.570,07:09:07.100,0.28870142
DARE,07:09:07.570,07:09:07.800,0.28870142
DARE,07:12:36.300,07:12:36.400,0.37009025
DARE,07:39:09.690,07:39:09.700,0.31646028
DARE,07:41:27.010,07:41:27.300,0.46112114
DARE,08:09:05.200,08:09:05.400,0.48567778
DARE,08:15:04.770,08:15:03.900,0.3776026
DARE,08:40:34.980,08:40:34.900,0.43657562
DARE,08:44:57.800,08:44:57.600,0.27407998
DARE,08:45:56.910,08:45:57.300,0.27055925
DARE,08:54:52.650,08:54:52.200,0.33131164
DARE,08:58:49.240,08:58:49.500,0.91960365
DARE,09:12:08.480,09:12:08.500,0.5918102
DARE,09:12:52.840,09:12:52.700,0.28848702
DARE,09:21:14.850,09:21:14.900,0.9178511
DARE,09:54:36.380,09:54:35.400,0.53987
DARE,10:07:49.990,10:07:50.200,0.4376242
DARE,10:12:30.740,10:12:31.100,0.7806335
DARE,10:36:07.330,10:36:08.300,0.6430093
DARE,10:51:41.740,10:51:41.900,0.44519666
DARE,11:11:49.790,11:11:49.900,0.92339015
DARE,11:30:53.270,11:30:53.400,0.50113654
DARE,11:35:36.900,11:35:37.100,0.4891621
DARE,11:44:18.040,11:44:18.300,0.8023096
DARE,11:58:46.500,11:58:46.200,0.90099514
DARE,12:34:53.650,12:34:54.400,0.27505174
DARE,12:48:10.460,12:48:10.200,0.9004457
DARE,13:02:42.710,13:02:42.700,0.41357964
DARE,13:39:33.850,13:39:32.900,0.4975936
DARE,13:44:59.470,13:44:59.800,0.9000508
DARE,14:03:17.730,14:03:17.700,0.71379757
DARE,14:10:21.180,14:10:21.500,0.52214295
DARE,14:22:54.510,14:22:55.500,0.31357023
DARE,14:38:40.260,14:38:39.900,0.73422754
DARE,14:42:05.800,14:42:05.900,0.8076377
DARE,15:06:33.150,15:06:33.700,0.5763053
DARE,15:20:22.490,15:20:23.000,0.29004875
DARE,15:33:43.380,15:33:43.900,0.5885631
DARE,15:51:30.940,15:51:31.100,0.48995107
DARE,15:52:56.720,15:52:57.500,0.2912934
DARE,15:59:35.630,15:59:35.900,0.47361696
DARE,16:02:23.290,16:02:23.400,0.40317488
DARE,16:13:20.330,16:13:20.700,0.5799223
DARE,16:25:19.310,16:25:18.400,0.3113554
DARE,16:28:34.710,16:28:34.300,0.33299658
DARE,16:41:24.730,16:41:24.900,0.48297313
DARE,16:49:31.270,16:49:31.600,0.62661886
DARE,16:52:06.750,16:52:07.200,0.8682662
DARE,17:04:52.990,17:04:53.600,0.3701946
DARE,17:11:57.080,17:11:57.100,0.7015234
DARE,17:19:17.210,17:19:17.300,0.9771452
DARE,17:26:40.070,17:26:39.900,0.6459069
DARE,17:35:19.890,17:35:19.600,0.3945136
DARE,17:40:43.620,17:40:44.500,0.45325142
DARE,17:44:40.780,17:44:41.000,0.31055504
DARE,17:46:58.690,17:46:58.700,0.5468736
DARE,17:51:36.930,17:51:36.600,0.97606003
DARE,18:02:59.630,18:03:00.100,0.88494223
DARE,18:15:37.860,18:15:38.300,0.4565359
DARE,18:26:56.680,18:26:57.100,0.5381255
DARE,18:44:12.860,18:44:13.100,0.39363846
DARE,18:48:59.470,18:48:59.600,0.88635683
DARE,19:12:41.060,19:12:40.900,0.7665764
DARE,19:16:05.440,19:16:06.200,0.32484475
DARE,19:19:08.290,19:19:08.300,0.61878896
DARE,19:31:09.200,19:31:08.900,0.8087709
DARE,19:40:29.190,19:40:29.200,0.9186409
DARE,19:43:51.700,19:43:51.800,0.95942295
DARE,19:48:14.080,19:48:14.700,0.27459908
DARE,20:05:32.250,20:05:32.200,0.92125446
DARE,20:11:58.990,20:11:59.300,0.8664707
DARE,20:13:20.140,20:13:20.200,0.94323254
DARE,20:14:29.050,20:14:29.500,0.44213387
DARE,20:19:06.050,20:19:06.000,0.6633949
DARE,20:21:03.110,20:21:03.500,0.9179681
DARE,20:22:12.760,20:22:12.900,0.5093134
DARE,20:28:22.080,20:28:22.100,0.55880797
DARE,20:33:23.590,20:33:24.200,0.2881223
DARE,20:35:13.940,20:35:14.100,0.9421972
DARE,20:36:05.000,20:36:05.400,0.5275189
DARE,20:40:16.040,20:40:16.200,0.91878104
DARE,21:01:05.720,21:01:06.600,0.531165
DARE,21:05:25.190,21:05:25.900,0.4193458
DARE,21:15:28.770,21:15:29.100,0.8829378
DARE,21:17:50.640,21:17:50.600,0.79384124
DARE,21:19:58.400,21:19:58.500,0.93892366
DARE,21:28:20.010,21:28:20.900,0.85584706
DARE,21:55:17.600,21:55:18.100,0.8098686
DARE,22:01:23.740,22:01:24.500,0.48630458
DARE,22:05:03.920,22:05:03.800,0.38895422
DARE,22:10:03.450,22:10:04.400,0.27953187
DARE,22:11:46.700,22:11:46.800,0.7674039
DARE,22:14:11.830,22:14:11.700,0.82874405
DARE,22:20:04.510,22:20:04.600,0.87491167
DARE,22:23:44.580,22:23:45.500,0.8097001
DARE,22:28:12.620,22:28:12.700,0.61447287
DARE,22:34:31.330,22:34:31.400,0.9466052
DARE,22:37:48.580,22:37:48.500,0.534601
DARE,22:45:11.720,22:45:12.300,0.33184108
DARE,22:59:16.280,22:59:16.700,0.42162615
DARE,23:02:05.520,23:02:05.600,0.8819761
DARE,23:05:33.820,23:05:33.600,0.95821524
DARE,23:08:15.720,23:08:15.900,0.6724458
DARE,23:11:49.110,23:11:49.600,0.51105875
DARE,23:13:00.850,23:13:01.300,0.8109854
DARE,23:13:38.700,23:13:39.000,0.73590076
DARE,23:18:25.020,23:18:25.200,0.50049424
DARE,23:27:21.510,23:27:21.800,0.2917809
DARE,23:38:37.620,23:38:37.700,0.88950133
DARE,23:45:53.540,23:45:53.400,0.8541781
DARE,23:48:44.560,23:48:45.000,0.37144735
DARE,23:50:37.670,23:50:37.800,0.4236447
DARE,23:54:30.670,23:54:30.600,0.6611646
DARE,23:56:13.120,23:56:13.900,0.8329005
DYBB,02:33:51.120,02:33:50.900,0.36380258
DYBB,02:52:25.940,02:52:26.100,0.43258682
DYBB,03:05:07.720,03:05:07.300,0.5537756
DYBB,03:16:38.310,03:16:38.400,0.66004086
DYBB,03:23:07.010,03:23:06.200,0.2910425
DYBB,03:29:08.560,03:29:08.500,0.51767635
DYBB,04:19:08.860,04:19:09.000,0.44197118
DYBB,05:23:15.770,05:23:16.100,0.52864367
DYBB,05:31:49.320,05:31:50.000,0.27330875
DYBB,05:33:35.660,05:33:36.600,0.39671558
DYBB,05:56:14.820,05:56:15.600,0.4375754
DYBB,06:34:33.900,06:34:34.200,0.62725514
DYBB,06:49:36.020,06:49:36.200,0.4235074
DYBB,08:59:00.890,08:59:00.600,0.42880937
