,file_name,begin_time,phase_time,phase_score,phase_type,station_id
52,ADVT_20230206_0400,2023-02-06T04:00:00.000000Z,2023-02-06T04:25:04.000000Z,0.891,P,ADVT
53,ADVT_20230206_0400,2023-02-06T04:00:00.000000Z,2023-02-06T04:25:25.770000Z,0.519,S,ADVT
54,TAHT_20230206_0500,2023-02-06T05:00:00.000000Z,2023-02-06T05:01:22.000000Z,0.904,P,TAHT
55,TAHT_20230206_0500,2023-02-06T05:00:00.000000Z,2023-02-06T05:01:23.510000Z,0.698,S,TAHT
56,BAKL_20230206_0800,2023-02-06T08:00:00.000000Z,2023-02-06T08:28:04.000000Z,0.871,P,BAKL
57,BAKL_20230206_0800,2023-02-06T08:00:00.000000Z,2023-02-06T08:15:23.470000Z,0.512,S,BAKL
58,GURO_20230206_0800,2023-02-06T08:00:00.000000Z,2023-02-06T08:03:16.970000Z,0.359,P,GURO
59,GURO_20230206_0800,2023-02-06T08:00:00.000000Z,2023-02-06T08:03:17.360000Z,0.292,S,GURO
60,HDMB_20230206_0800,2023-02-06T08:00:00.000000Z,2023-02-06T08:02:40.000000Z,0.928,P,HDMB
61,HDMB_20230206_0800,2023-02-06T08:00:00.000000Z,2023-02-06T08:28:04.370000Z,0.729,S,HDMB
62,KULU_20230206_0800,2023-02-06T08:00:00.000000Z,2023-02-06T08:48:58.990000Z,0.244,P,KULU
63,KULU_20230206_0800,2023-02-06T08:00:00.000000Z,2023-02-06T08:49:04.530000Z,0.139,S,KULU
64,SDAG_20230206_0800,2023-02-06T08:00:00.000000Z,2023-02-06T08:09:35.560000Z,0.705,P,SDAG
65,SDAG_20230206_0800,2023-02-06T08:00:00.000000Z,2023-02-06T08:42:55.850000Z,0.675,S,SDAG
66,SILT_20230206_0800,2023-02-06T08:00:00.000000Z,2023-02-06T08:32:20.000000Z,0.764,P,SILT
67,SILT_20230206_0800,2023-02-06T08:00:00.000000Z,2023-02-06T08:32:33.550000Z,0.314,S,SILT
68,AFSR_20230206_1100,2023-02-06T11:00:00.000000Z,2023-02-06T11:06:32.010000Z,0.274,P,AFSR
69,AFSR_20230206_1100,2023-02-06T11:00:00.000000Z,2023-02-06T11:06:38.000000Z,0.424,S,AFSR
70,BAKL_20230206_1100,2023-02-06T11:00:00.000000Z,2023-02-06T11:35:28.000000Z,0.95,P,BAKL
71,BAKL_20230206_1100,2023-02-06T11:00:00.000000Z,2023-02-06T11:42:45.150000Z,0.823,S,BAKL
72,CORM_20230206_1100,2023-02-06T11:00:00.000000Z,2023-02-06T11:40:28.000000Z,0.863,P,CORM
73,CORM_20230206_1100,2023-02-06T11:00:00.000000Z,2023-02-06T11:57:26.500000Z,0.59,S,CORM
