,file_name,begin_time,phase_time,phase_score,phase_type,station_id
53,SDAG_20230206_0000,2023-02-06T00:00:00.000000Z,2023-02-06T00:51:56.150000Z,0.506,S,SDAG
54,SDAG_20230206_0000,2023-02-06T00:00:00.000000Z,2023-02-06T00:51:56.150000Z,0.426,S,SDAG
55,SDAG_20230206_0000,2023-02-06T00:00:00.000000Z,2023-02-06T00:51:56.130000Z,0.263,S,SDAG
56,SDAG_20230206_0000,2023-02-06T00:00:00.000000Z,2023-02-06T00:54:40.120000Z,0.159,S,SDAG
57,SDAG_20230206_0000,2023-02-06T00:00:00.000000Z,2023-02-06T00:56:39.320000Z,0.103,S,SDAG
58,SDAG_20230206_0000,2023-02-06T00:00:00.000000Z,2023-02-06T00:57:57.870000Z,0.526,S,SDAG
59,SDAG_20230206_0000,2023-02-06T00:00:00.000000Z,2023-02-06T00:57:57.910000Z,0.422,S,SDAG
60,SDAG_20230206_0000,2023-02-06T00:00:00.000000Z,2023-02-06T00:57:57.890000Z,0.212,S,SDAG
61,SDAG_20230206_0000,2023-02-06T00:00:00.000000Z,2023-02-06T00:58:14.530000Z,0.106,S,SDAG
62,SDAG_20230206_0000,2023-02-06T00:00:00.000000Z,2023-02-06T00:59:26.530000Z,0.108,S,SDAG
62,AFSR_20230206_0100,2023-02-06T01:00:00.000000Z,2023-02-06T01:18:32.000000Z,0.533,P,AFSR
63,AFSR_20230206_0100,2023-02-06T01:00:00.000000Z,2023-02-06T01:18:42.000000Z,0.612,P,AFSR
64,AFSR_20230206_0100,2023-02-06T01:00:00.000000Z,2023-02-06T01:18:52.000000Z,0.141,P,AFSR
65,AFSR_20230206_0100,2023-02-06T01:00:00.000000Z,2023-02-06T01:27:44.010000Z,0.139,P,AFSR
66,AFSR_20230206_0100,2023-02-06T01:00:00.000000Z,2023-02-06T01:27:54.000000Z,0.468,P,AFSR
67,AFSR_20230206_0100,2023-02-06T01:00:00.000000Z,2023-02-06T01:29:09.980000Z,0.106,P,AFSR
68,AFSR_20230206_0100,2023-02-06T01:00:00.000000Z,2023-02-06T01:29:18.010000Z,0.262,P,AFSR
69,AFSR_20230206_0100,2023-02-06T01:00:00.000000Z,2023-02-06T01:37:22.000000Z,0.264,P,AFSR
70,AFSR_20230206_0100,2023-02-06T01:00:00.000000Z,2023-02-06T01:37:28.000000Z,0.757,P,AFSR
72,AFSR_20230206_0100,2023-02-06T01:00:00.000000Z,2023-02-06T01:37:37.090000Z,0.169,S,AFSR
73,AFSR_20230206_0100,2023-02-06T01:00:00.000000Z,2023-02-06T01:37:46.400000Z,0.427,S,AFSR
74,AFSR_20230206_0100,2023-02-06T01:00:00.000000Z,2023-02-06T01:37:46.400000Z,0.356,S,AFSR
75,AFSR_20230206_0100,2023-02-06T01:00:00.000000Z,2023-02-06T01:37:46.400000Z,0.185,S,AFSR
75,APMY_20230206_0100,2023-02-06T01:00:00.000000Z,2023-02-06T01:04:02.250000Z,0.19,P,APMY
76,APMY_20230206_0100,2023-02-06T01:00:00.000000Z,2023-02-06T01:18:56.000000Z,0.135,P,APMY
77,APMY_20230206_0100,2023-02-06T01:00:00.000000Z,2023-02-06T01:19:08.000000Z,0.465,P,APMY
78,APMY_20230206_0100,2023-02-06T01:00:00.000000Z,2023-02-06T01:19:16.970000Z,0.223,P,APMY
79,APMY_20230206_0100,2023-02-06T01:00:00.000000Z,2023-02-06T01:19:30.000000Z,0.488,P,APMY
80,APMY_20230206_0100,2023-02-06T01:00:00.000000Z,2023-02-06T01:19:44.000000Z,0.381,P,APMY
81,APMY_20230206_0100,2023-02-06T01:00:00.000000Z,2023-02-06T01:19:54.000000Z,0.266,P,APMY
82,APMY_20230206_0100,2023-02-06T01:00:00.000000Z,2023-02-06T01:28:35.330000Z,0.118,P,APMY
83,APMY_20230206_0100,2023-02-06T01:00:00.000000Z,2023-02-06T01:29:30.000000Z,0.411,P,APMY
84,APMY_20230206_0100,2023-02-06T01:00:00.000000Z,2023-02-06T01:29:42.000000Z,0.194,P,APMY
85,APMY_20230206_0100,2023-02-06T01:00:00.000000Z,2023-02-06T01:29:52.290000Z,0.24,P,APMY
86,APMY_20230206_0100,2023-02-06T01:00:00.000000Z,2023-02-06T01:37:32.010000Z,0.184,P,APMY
87,APMY_20230206_0100,2023-02-06T01:00:00.000000Z,2023-02-06T01:37:40.000000Z,0.554,P,APMY
88,APMY_20230206_0100,2023-02-06T01:00:00.000000Z,2023-02-06T01:37:57.000000Z,0.488,P,APMY
89,APMY_20230206_0100,2023-02-06T01:00:00.000000Z,2023-02-06T01:41:52.250000Z,0.153,P,APMY
90,APMY_20230206_0100,2023-02-06T01:00:00.000000Z,2023-02-06T01:48:28.010000Z,0.505,P,APMY
91,APMY_20230206_0100,2023-02-06T01:00:00.000000Z,2023-02-06T01:52:52.000000Z,0.838,P,APMY
92,APMY_20230206_0100,2023-02-06T01:00:00.000000Z,2023-02-06T01:56:05.050000Z,0.322,P,APMY
93,APMY_20230206_0100,2023-02-06T01:00:00.000000Z,2023-02-06T01:56:05.050000Z,0.356,P,APMY
94,APMY_20230206_0100,2023-02-06T01:00:00.000000Z,2023-02-06T01:56:05.050000Z,0.559,P,APMY
95,APMY_20230206_0100,2023-02-06T01:00:00.000000Z,2023-02-06T01:56:05.010000Z,0.773,P,APMY
97,APMY_20230206_0100,2023-02-06T01:00:00.000000Z,2023-02-06T01:04:06.890000Z,0.163,S,APMY
98,APMY_20230206_0100,2023-02-06T01:00:00.000000Z,2023-02-06T01:06:58.000000Z,0.197,S,APMY
99,APMY_20230206_0100,2023-02-06T01:00:00.000000Z,2023-02-06T01:06:57.950000Z,0.318,S,APMY
100,APMY_20230206_0100,2023-02-06T01:00:00.000000Z,2023-02-06T01:06:57.890000Z,0.127,S,APMY
101,APMY_20230206_0100,2023-02-06T01:00:00.000000Z,2023-02-06T01:19:50.000000Z,0.112,S,APMY
102,APMY_20230206_0100,2023-02-06T01:00:00.000000Z,2023-02-06T01:19:50.000000Z,0.141,S,APMY
103,APMY_20230206_0100,2023-02-06T01:00:00.000000Z,2023-02-06T01:20:11.290000Z,0.243,S,APMY
104,APMY_20230206_0100,2023-02-06T01:00:00.000000Z,2023-02-06T01:28:36.390000Z,0.233,S,APMY
105,APMY_20230206_0100,2023-02-06T01:00:00.000000Z,2023-02-06T01:28:36.430000Z,0.141,S,APMY
106,APMY_20230206_0100,2023-02-06T01:00:00.000000Z,2023-02-06T01:28:36.350000Z,0.194,S,APMY
107,APMY_20230206_0100,2023-02-06T01:00:00.000000Z,2023-02-06T01:28:37.100000Z,0.17,S,APMY
108,APMY_20230206_0100,2023-02-06T01:00:00.000000Z,2023-02-06T01:29:55.200000Z,0.235,S,APMY
109,APMY_20230206_0100,2023-02-06T01:00:00.000000Z,2023-02-06T01:29:55.230000Z,0.226,S,APMY
110,APMY_20230206_0100,2023-02-06T01:00:00.000000Z,2023-02-06T01:30:09.690000Z,0.189,S,APMY
111,APMY_20230206_0100,2023-02-06T01:00:00.000000Z,2023-02-06T01:38:02.590000Z,0.262,S,APMY
