No,Code,Latitude,Longitude,Elivation Mt.,Location,OpenDate,Notes - İstasyon Kurulumunu Yapanlar,Sensor and Digitizer,Netwok Code,SensorType,Registry,Status,CloseDate,fType
212,GONE,40.0466,27.686,143,GÖNEN-BALIKESIR,20080627,Mehmet Kara,T5R03/A2217,KO,[A] 5TD/CMG-CD24,YES,OPEN,OnSite,HZ
213,GORD,38.9088,28.1769,744,Gordes-MANISA,20180503,IVME VE 40T bir arada ZÖ-MK-MS-OC,[T4X27/A4094]-[T5CH5/A4180],KO,[SA] [40T]-[5TD]/[CMG-DM24]-[CMG-DM24],YES,OPEN,OnSite,HZ
214,GPA,40.2911,30.3171,570,GÖLPAZARI ,20111005,20141106 Tarihinde 500m kuzeye tasindi (Ivme Ölçer),T5V06/C1472,KO,[A] 5TD/CMG-CD24,YES,OPEN,OnSite,HZ
215,GPNR,39.456,26.1331,55,Gurpinar,20110101,Turkcell-Ivme Olcer,T5V16/C1490,KO,[A] 5TD/CMG-CD24,YES,OPEN,OnSite,HZ
216,GRDE,40.7995,32.2116,0,Gerede Bolu,20121112,Turkcell,T5AC9/C2091,KO,[A] 5TD/CMG-CD24,YES,CLOSED,20170920,HZ
217,GULA,38.3444,34.236,1126,GUL,20090601,Yavuz Gunes-Dogan Kalafat - Zafer OgutcuTUZ GOLU PROJESI,T6997/C874,KO,[B] 6T/CMG-CD24,YES,OPEN,OnSite,HZ
218,GULF,40.914,35.879,1050,Gulfidan-SAMSUN,20240627,Murat Suvarikli - Özkan Çok,T5AD6/C2095,KO,[A] 5TD/CMG-CD24,YES,OPEN,OnSite,HZ
219,GULT,40.432,30.5152,942,GÜLVEREN-IZNIK,20070915,"D.Kalafat,M.Suvarikli,Ö.Çok",T33969/A722,KO,[B] 3ESP/CMG-DM24,YES,OPEN,OnSite,HZ
220,GUMT,40.4665,39.478,1326,GÜMÜSHANE,20120110,----,T5V16/C1549,KO,[A] 5TD/CMG-CD24,YES,OPEN,OnSite,HZ
221,GURO,38.5509,42.0322,1388,Guroymak-Bitlis,20111025,Dogan Kalafat-Murat Suvarikli-Zafer ÖGÜTÇÜ,T36981/A3358,KO,[B] 3T/CMG-DM24,YES,OPEN,OnSite,HZ
222,GUZE,40.9998,28.5074,3,Güzelce Mah. BUYUKÇEKMECE ,20210608,Murat Suvarikli - Özkan Çok,T5DN4/C3135,KO,[A] 5T/CMG-CD24,YES,OPEN,OnSite,HZ
223,GZKV,40.7479,27.3275,30,Gazikoy-Tekirdag,20141025,Borehole,NA,KO,NA,Yes,OPEN,OnSite,HZ
224,HDMB,36.9638,32.4857,1946,HADIM KONYA,20030611,M.YILMAZER-M.SUVARIKLI,T35982/A1681,KO,[B] 3T/CMG-DM24,YES,OPEN,OnSite,HZ
225,HKOY,40.892,35.9884,0,Hamitkoy-SAMSUN,20131206,Ivme Olcer,T5BG2/C2478,KO,[A] 5TD/CMG-CD24,YES,CLOSED,20170920,HZ
226,HOPA,41.3867,41.4458,100,Hopa-ARTVIN,20120318,Ivme Olcer,T5U93/C1471,KO,[A] 5TD/CMG-CD24,YES,OPEN,OnSite,HZ
227,HOSK,40.7098,27.3143,1,Hoskoy-Sarkoy-TEKIRDAG,20240417,"IRAP -ivme-selevel-meteo,Mehmet G, Burak A, Hasan D, SENTEZ",6711/yyy,KO,[A] ACEBOX/SL06,YES,OPEN,OnSite,HZ
228,HPSA,41.0109,29.0072,1,Haydarpasa-ISTANBUL,20240315,"IRAP -ivme-selevel-meteo Murat S,Mehmet G, Hasan D, SENTEZ",6709/yyy,KO,[A] ACEBOX/SL06,YES,OPEN,OnSite,HZ
229,HRTX,40.8009,29.6729,573,Hereke,20080403,---,T35499/C810,KO,[B] 3ESP/CMG-DM24,YES,OPEN,OnSite,HZ
230,HSY,35.2916,33.0974,26,KKTC-Hisarkoy-GIRNE,20230712,KKTC- SENTEZ,T6Y89/C4499,KO,[B] 6T/CMG-CD24,YES,OPEN,OnSite,HZ
231,HVHR,40.9908,28.6678,22,Acc,20110101,----,T5BQ2/C2470,KO,[A] 5TD/CMG-CD24,YES,OPEN,OnSite,HZ
232,HYBA,40.8754,29.0854,65,,20120912,,T5BT3/C2552,KO,[A] 5TD/CMG-CD24,YES,OPEN,OnSite,HZ
233,IKL,36.2366,33.6845,126,Isikli,20060724,----,T35848/A1678,KO,[B] 3ESPC/CMG-DM24,YES,OPEN,OnSite,HZ
234,ILIC,39.4518,38.5675,1295,ILIC-ERZINCAN,20081225,Yavuz GÜNES-Dogan KALAFAT,T33977/B089,KO,[B] 3ESP/CMG-DM24,YES,CLOSED,20230615,HZ
235,IMRL,40.5554,28.527,1,Imralı Adası- BURSA,20240531,"IRAP -ivme-selevel-meteo,Fatih T, Mehmet G, Burak A, SENTEZ ",6701/yyy,KO,[A] ACEBOX/SL06,YES,OPEN,OnSite,HZ
236,ISK,41.0615,29.0592,85,Kandilli,19970101,----,T3V81/A592,KO,[B] 3T/CMG-DM24,YES,OPEN,OnSite,HZ
237,IZI,40.3483,29.4612,910,Izmit,20111005,Murat Suvarikli-Ozkan Cok,T5V09/C1474,KO,[A] 5TD/CMG-CD24,YES,OPEN,OnSite,HZ
238,KAMT,39.3689,33.7112,1120,KAMAN,20111122,----,T36974/A3359,KO,[B] 3T/CMG-DM24,YES,OPEN,OnSite,HZ
239,KARA,37.2607,35.0547,366,KARAISALI-ADANA,20050828,Yavuz GÜNES-Dogan KALAFAT,T3G49/DC16,KO,[B] 3ESP/CMG-DM24,YES,OPEN,OnSite,HZ
240,KARG,36.203,33.7086,275,KARGICAK,20130417,Notes,T5AG0/C2233,KO,[A] 5TD/CMG-CD24,YES,OPEN,OnSite,HZ
241,KARO,39.3089,41.0493,1820,Karlyova-Bingol,20121128,GPRS,T36976/A3357,KO,[B] 3T/CMG-DM24,YES,OPEN,OnSite,HZ
242,KARS,40.6152,43.0937,1747,KARS,20061013,Yavuz GÜNES-Dogan KALAFAT,T3V89/A638,KO,[B] 3T/CMG-DM24,YES,OPEN,OnSite,HZ
243,KAVA,41.0638,29.06,138,Kandilli ACC,20100101,----,T5V24/C1551,KO,[A] 5TD/CMG-CD24,YES,OPEN,OnSite,HZ
244,KAVV,41.0638,29.06,138,Kandilli Vel,20100101,----,T35522/C832,KO,[B] 3ESPC/CMG-DM24,YES,OPEN,OnSite,HZ
245,KAYA,40.9468,35.7491,1050,Kayacik-SAMSUN,20131206,Ivme Olcer,T5BQ5/C2540,KO,[A] 5TD/CMG-CD24,YES,CLOSED,20180101,HZ
246,KBAN,38.797,38.7278,745,Keban-ELAZIG,20240903,Remzi POLAT-Rıdvan OZYILMAZ,T6Z65/C4564,KO,[B] 6T/CMG-CD24,YES,OPEN,OnSite,HZ
247,KCTX,40.2626,28.3353,445,Karacabey-BURSA,19981020,M.SUVARIKLI,[T35496/C806]-[T5V02/C1514],KO,[BA] [3ESP]-[5TD]/[CMG-DM24]-[CMG-CD24],YES,OPEN,OnSite,HZ
248,KDZE,41.3132,31.443,410,Karadenizeregli-ZONGULDAK,20060630,Yavuz GÜNES,T3Z10/A602,KO,[B] 3T/CMG-DM24,YES,OPEN,OnSite,HZ
249,KEBE,36.447,33.713,776,Akkuyu,20110701,Dogan Kalafat-Murat Suvarikli-Zafer ÖGÜTÇÜ,T36973/A3353,KO,[B] 3T/CMG-DM24,YES,OPEN,OnSite,HZ
250,KEMT,36.6037,30.5558,0,Kemer,20110101,Ivme Olcer,T5U91/C1492,KO,[A] 5TD/CMG-CD24,YES,OPEN,OnSite,HZ
251,KHL,38.3231,29.5286,1003,Karahalli,20111005,----,T5U86/C1523,KO,[A] 5TD/CMG-CD24,YES,OPEN,OnSite,HZ
252,KHMN,37.3916,37.1574,640,Kahramanmaras,20121129,Ivme Olcer,T5AF7/C2229,KO,[A] 5TD/CMG-CD24,YES,OPEN,OnSite,HZ
253,KIYI,41.4844,28.2998,23,Acc,20110101,Turkcell-Ivme Olcer,T5U79/C1525,KO,[A] 5TD/CMG-CD24,YES,CLOSED,20181012,HZ
254,KIZO,40.9005,35.9334,1050,Kizoglu-SAMSUN,20131206,Ivme Olcer,T5BK3/C2499,KO,[A] 5TD/CMG-CD24,YES,CLOSED,20210630,HZ
255,KIZT,38.8808,31.883,1222,KIZILÇAL-KONYA,20111124,----,T36947/A3172,KO,[B] 3T/CMG-DM24,YES,OPEN,OnSite,HZ
256,KLYT,41.253,29.042,30,KILYOS,20060518,Yavuz GÜNES,T35501/C804,KO,[B] 3T/CMG-DM24,YES,OPEN,OnSite,HZ
257,KMAH,39.6082,39.0275,1100,Kemah-ERZINCAN,20240227,Sadik SAHINARSLAN,T33977/B089,KO,[B] 3ESPC/CMG-DM24,YES,OPEN,OnSite,HZ
258,KMON,41.3738,33.7839,936,KASTAMONU,20130924,CMG-5TDCE,T5BS3/C2458,KO,[A] 5TD/CMG-CD24,YES,OPEN,OnSite,HZ
259,KMRS,37.5087,36.9,590,KAHRAMANMARAS,20060830,Yavuz GÜNES,T3U04/A601,KO,[B] 3T/CMG-DM24,YES,OPEN,OnSite,HZ
260,KONT,37.957,32.3563,1100,Konya,20060720,----,T3V83/A643,KO,[B] 3T/CMG-DM24,YES,OPEN,OnSite,HZ
261,KOPR,39.9917,41.8535,1675,KOPRUKOY,20121128,GPRS,T36984/A3360,KO,[B] 3T/CMG-DM24,YES,OPEN,OnSite,HZ
262,KOUK,40.6572,29.1918,1,Koru-Çinarcik-YALOVA,20210620,Murat Suvarikli - Özkan Çok,T5DP5/C3129,KO,[A] 5T/CMG-CD24,YES,OPEN,OnSite,HZ
263,KOZK,39.2101,34.868,1134,Kozakly-Nevsehir,20150212,IVME VE 40T bir arada,[T4X32/A4098]-[T5CJ4/A4174],KO,[SA] [40T]-[5T]/[CMG-DM24]-[CMG-DM24],YES,OPEN,OnSite,HZ
264,KOZT,37.4795,35.8264,381,KOZAN-ADANA,20050825,Yavuz GÜNES-Dogan KALAFAT,T3X66/A613,KO,[B] 3T/CMG-DM24,YES,OPEN,OnSite,HZ
265,KRBG,40.3932,27.2977,79,KARABIGA-ÇANAKKALE,20080627,Mehmet Kara,[T35494/C807]-[T5GK7/A6482],KO,[BA] [3ESP]-[5TD]/[CMG-DM24]-[CMG-DM24],YES,OPEN,OnSite,HZ
266,KRBN,38.5936,26.5537,135,Karaburun,20110101,Turkcell-Ivme Olcer,T5AD5/C2085,KO,[A] 5TD/CMG-CD24,YES,OPEN,OnSite,HZ
267,KRMN,37.174,33.2636,1068,KARAMAN,20140207,IVME VE 40T bir arada,[T4X25/A4091]-[T5CH9/A4176],KO,[SA] [40T]-[5T]/[CMG-DM24]-[CMG-DM24],YES,OPEN,OnSite,HZ
268,KRTA,40.9003,29.1544,1,Kartal-ISTANBUL,20240124,"IRAP -ivme-selevel-meteo ÖZKAN-Remzi-Mehmet-Burak, Hasan D, SENTEZ",6718/yyy,KO,[A] ACEBOX/SL06,YES,OPEN,OnSite,HZ
269,KRTD,36.5934,35.4157,47,ACC,20110101,Turkcell-Ivme Olcer,T5U90/C1450,KO,[A] 5TD/CMG-CD24,YES,CLOSED,20171027,HZ
270,KRTL,40.9089,29.1987,83,KARTAL-ISTANBUL,20220315,SENTEZ KURDU-IVME,T5BK3/C2499,KO,[A] 5T/CMG-DM24,YES,OPEN,OnSite,HZ
271,KRTS,36.573,35.375,53,KARATAS-ADANA,20050825,Zafer ÖGÜTCÜ-Veli GEÇGEL,T5V15/C1511,KO,[A] 5TD/CMG-CD24,YES,OPEN,OnSite,HZ
272,KTUT,40.987,39.7667,171,TRABZON-KTU,20060817,....,T3W93/A641,KO,[B] 3T/CMG-DM24,YES,OPEN,OnSite,HZ
273,KULA,38.5145,28.6607,915,KULA-MANISA,20070220,ZAFER ÖGÜTÇÜ (3TD 120s),T3U96/A639,KO,[B] 3T/CMG-DM24,YES,OPEN,OnSite,HZ
274,KULU,39.0343,33.0023,1120,KULU,20090601,Yavuz Gunes-Dogan Kalafat - Zafer OgutcuTUZ GOLU PROJESI,T6999/C1017,KO,[B] 6T/CMG-CD24,YES,OPEN,OnSite,HZ
275,KUMB,40.8626,27.4592,2,"Kumbag, Süleymanpasa/Tekirdag",20210609,Murat Suvarikli - Özkan Çok,T5DN5/C3128,KO,[A] 5T/CMG-CD24,YES,OPEN,OnSite,HZ
276,KUPE,40.8766,36.0489,1050,SAMSUN,20131206,Ivme Olcer,T5BN7/C2542,KO,[A] 5TD/CMG-CD24,YES,CLOSED,20180101,HZ
277,KURC,41.8456,32.743,143,Kurucasile-Bartyn,20111215,Broadband 120 sn,T37087/A3458,KO,[B] 3T/CMG-DM24,YES,OPEN,OnSite,HZ
278,KUSD,37.8606,27.2868,323,Kusadasi,20110101,Turkcell-Ivme Olcer,T5AC9/C2091,KO,[A] 5TD/CMG-CD24,YES,OPEN,OnSite,HZ
279,KVT,41.0807,36.0463,649,Kavak,20040628,----,T3V85/A644,KO,[B] 3T/CMG-DM24,YES,OPEN,OnSite,HZ
280,KYHL,40.3244,37.8955,1568,KOYULHISAR- SIVAS,20201211,Murat Suvarikli - Özkan Çok,T5U90/C1450,KO,[A] 5T/CMG-CD24,YES,OPEN,OnSite,HZ
281,LADK,38.2,32.3648,1168,KONYA-LADIK,20070619,ZAFER ÖGÜTÇÜ,T3W29/A596,KO,[B] 3T/CMG-DM24,YES,OPEN,OnSite,HZ
282,LAFA,40.7598,29.3554,38,Acc,20110101,...,T5BV0/C2571,KO,[A] 5TD/CMG-CD24,YES,OPEN,OnSite,HZ
283,LAP,40.3703,26.7593,230,LAPSEKI,20071227,M.SUVARIKLI,T3P65/A116,KO,[B] 3ESP/CMG-DM24,YES,OPEN,OnSite,HZ
