station,Phasenet_pick_time,Kandilli_pick_time,Phasenet_pick_score
DARE,06:32:05.250,06:32:05.800,0.7643311
DARE,06:40:19.770,06:40:19.600,0.47026187
DARE,06:44:29.590,06:44:29.000,0.62246895
DARE,06:48:50.680,06:48:50.900,0.83974063
DARE,06:49:46.190,06:49:47.000,0.6068303
DARE,06:52:25.600,06:52:26.300,0.62946296
DARE,07:03:22.850,07:03:21.900,0.73092926
DARE,07:04:43.120,07:04:43.400,0.6927452
DARE,07:12:54.930,07:12:55.900,0.36219496
DARE,07:19:54.080,07:19:53.800,0.67618054
DARE,07:21:43.480,07:21:44.100,0.59116054
DARE,07:24:04.810,07:24:04.600,0.74937356
DARE,07:26:29.750,07:26:30.100,0.6584904
DARE,07:27:23.930,07:27:23.900,0.7870501
DARE,07:31:44.770,07:31:44.000,0.6460581
DARE,07:41:38.220,07:41:38.300,0.7535348
DARE,07:44:15.530,07:44:14.700,0.72129333
DARE,07:48:01.930,07:48:01.800,0.6148447
DARE,08:05:07.980,08:05:08.500,0.76768047
DARE,08:07:11.280,08:07:10.500,0.4656915
DARE,08:29:53.520,08:29:53.300,0.7892762
DARE,08:38:53.810,08:38:54.300,0.55608207
DARE,08:45:10.490,08:45:09.900,0.7211232
DARE,08:53:15.070,08:53:15.000,0.57018363
DARE,08:59:01.590,08:59:01.700,0.6959987
DARE,09:06:29.480,09:06:28.700,0.59518397
DARE,09:21:25.870,09:21:26.200,0.4428562
DARE,10:08:02.080,10:08:01.700,0.65673894
DARE,10:12:43.590,10:12:43.500,0.6850658
DARE,10:36:15.300,10:36:16.000,0.75006455
DARE,10:39:16.380,10:39:16.700,0.59207505
DARE,10:51:50.770,10:51:50.500,0.6183518
DARE,10:56:45.160,10:56:44.900,0.41573548
DARE,11:11:59.070,11:11:59.300,0.58287233
DARE,11:31:02.330,11:31:02.500,0.69161785
DARE,11:35:46.280,11:35:46.100,0.7577204
DARE,11:43:44.630,11:43:43.900,0.850543
DARE,11:49:07.690,11:49:07.300,0.6719221
DARE,11:51:37.830,11:51:37.100,0.83870906
DARE,11:58:55.480,11:58:55.400,0.8112122
DARE,12:31:59.480,12:31:58.700,0.7023472
DARE,12:55:06.670,12:55:06.700,0.39005092
DARE,13:03:36.380,13:03:35.500,0.55673885
DARE,13:14:26.550,13:14:27.100,0.72940564
DARE,13:16:56.360,13:16:56.600,0.7802224
DARE,13:33:33.050,13:33:32.800,0.6271873
DARE,13:45:08.490,13:45:07.900,0.6892972
DARE,13:46:37.900,13:46:38.300,0.64801025
DARE,13:52:26.220,13:52:26.400,0.5800688
DARE,14:10:30.990,14:10:30.800,0.71973264
DARE,14:21:12.350,14:21:12.700,0.47888893
DARE,14:23:04.450,14:23:04.500,0.5898938
DARE,14:27:29.050,14:27:29.200,0.78510445
DARE,14:55:51.400,14:55:50.500,0.77074647
DARE,15:06:41.620,15:06:41.800,0.6930096
DARE,15:08:29.180,15:08:28.500,0.35017064
DARE,15:20:30.030,15:20:29.900,0.8117503
DARE,15:22:31.910,15:22:31.700,0.75420505
DARE,15:33:53.070,15:33:53.500,0.6710198
DARE,15:50:09.320,15:50:09.200,0.540124
DARE,15:51:39.000,15:51:38.800,0.5620619
DARE,15:53:08.160,15:53:08.600,0.4511932
DARE,15:59:44.670,15:59:44.700,0.72607374
DARE,16:07:03.100,16:07:03.200,0.728592
DARE,16:10:56.280,16:10:56.400,0.7307058
DARE,16:27:11.920,16:27:11.900,0.73600775
DARE,16:41:33.130,16:41:32.900,0.7982922
DARE,16:49:40.780,16:49:40.400,0.6656623
DARE,16:52:15.820,16:52:15.200,0.8280566
DARE,17:05:01.930,17:05:01.400,0.71012896
DARE,17:10:35.640,17:10:35.900,0.6350988
DARE,17:12:05.090,17:12:04.800,0.756734
DARE,17:19:25.670,17:19:25.800,0.8984523
DARE,17:21:46.700,17:21:46.300,0.852668
DARE,17:22:33.150,17:22:33.100,0.6463922
DARE,17:26:52.020,17:26:51.900,0.6099574
DARE,17:35:28.290,17:35:27.400,0.7574415
DARE,17:39:44.750,17:39:45.100,0.764284
DARE,17:40:52.200,17:40:52.300,0.73677105
DARE,17:43:24.860,17:43:25.100,0.6821581
DARE,17:44:50.430,17:44:50.400,0.69649446
DARE,17:47:06.490,17:47:06.300,0.7778399
DARE,17:49:17.940,17:49:18.300,0.87411016
DARE,17:51:41.890,17:51:40.900,0.93959475
DARE,18:03:11.520,18:03:12.200,0.46492285
DARE,18:12:54.890,18:12:54.300,0.86052775
DARE,18:14:21.440,18:14:20.900,0.4983539
DARE,18:15:46.080,18:15:45.300,0.66365147
DARE,18:23:00.610,18:23:01.600,0.6777361
DARE,18:25:50.840,18:25:50.600,0.75686353
DARE,18:27:05.940,18:27:06.000,0.6858702
DARE,18:30:06.100,18:30:05.300,0.835575
DARE,18:44:21.050,18:44:21.000,0.5308589
DARE,18:49:09.650,18:49:09.600,0.82846045
DARE,18:54:02.760,18:54:03.700,0.6627542
DARE,19:12:49.830,19:12:49.500,0.74299055
DARE,19:16:18.750,19:16:18.600,0.599941
DARE,19:19:17.830,19:19:17.300,0.713258
DARE,19:21:33.650,19:21:33.300,0.7156735
DARE,19:31:17.860,19:31:17.900,0.6448881
DARE,19:37:53.080,19:37:53.200,0.86000454
DARE,19:40:40.260,19:40:40.100,0.76285136
DARE,19:43:59.780,19:43:59.900,0.899689
DARE,19:48:27.490,19:48:27.500,0.6065506
DARE,20:05:40.110,20:05:39.300,0.844682
DARE,20:08:48.710,20:08:48.200,0.5675494
DARE,20:12:07.530,20:12:07.200,0.69143534
DARE,20:13:28.630,20:13:28.100,0.8746151
DARE,20:19:14.660,20:19:14.900,0.7162487
DARE,20:21:11.940,20:21:11.600,0.79678416
DARE,20:22:27.810,20:22:28.200,0.5966394
DARE,20:26:37.190,20:26:37.400,0.54779947
DARE,20:28:32.070,20:28:31.800,0.821508
DARE,20:33:32.470,20:33:32.100,0.71810955
DARE,20:36:13.850,20:36:14.300,0.6200719
DARE,20:38:36.640,20:38:36.700,0.72320867
DARE,21:01:11.320,21:01:11.200,0.42013282
DARE,21:15:38.330,21:15:38.900,0.71411
DARE,21:17:59.890,21:17:59.800,0.63116884
DARE,21:20:08.740,21:20:07.900,0.6566638
DARE,21:21:30.770,21:21:31.500,0.63150805
DARE,21:25:20.200,21:25:19.300,0.7194557
DARE,21:28:28.790,21:28:28.800,0.6839794
DARE,21:55:26.520,21:55:27.100,0.65083903
DARE,22:01:34.350,22:01:34.800,0.7373874
DARE,22:06:40.310,22:06:40.300,0.60240245
DARE,22:14:21.050,22:14:20.400,0.69065243
DARE,22:23:53.030,22:23:52.900,0.70157504
DARE,22:28:18.340,22:28:18.300,0.85461766
DARE,22:34:40.660,22:34:40.800,0.71547747
DARE,22:37:57.550,22:37:57.400,0.7787971
DARE,22:41:17.900,22:41:17.700,0.75055045
DARE,22:58:37.590,22:58:37.400,0.7597128
DARE,22:59:26.020,22:59:26.100,0.858905
DARE,23:02:13.580,23:02:13.600,0.84761095
DARE,23:05:42.110,23:05:41.600,0.8929635
DARE,23:08:24.900,23:08:24.500,0.6781869
DARE,23:11:07.610,23:11:07.600,0.7118746
