station,Phasenet-EQTransformer_Average_pick_time,Kandilli_pick_time,Phasenet_score,EQTransformer_score
DARE,10:36:16.000,10:36:15.615,0.75006455,0.45
DARE,10:39:16.700,10:39:16.390,0.59207505,0.41
DARE,10:39:16.700,10:39:16.415,0.59207505,0.64
DARE,10:51:50.500,10:51:50.825,0.6183518,0.4
DARE,10:56:44.900,10:56:45.120,0.41573548,0.18
DARE,11:11:59.300,11:11:59.150,0.58287233,0.6
DARE,11:31:02.500,11:31:02.335,0.69161785,0.55
DARE,11:31:02.500,11:31:02.375,0.69161785,0.54
DARE,11:35:46.100,11:35:46.340,0.7577204,0.29
DARE,11:43:43.900,11:43:44.595,0.850543,0.46
DARE,11:43:43.900,11:43:44.600,0.850543,0.33
DARE,11:49:07.300,11:49:07.760,0.6719221,0.53
DARE,11:51:37.100,11:51:37.840,0.83870906,0.62
DARE,11:58:55.400,11:58:55.425,0.8112122,0.41
DARE,12:31:58.700,12:31:59.510,0.7023472,0.68
DARE,12:55:06.700,12:55:06.545,0.39005092,0.14
DARE,12:55:06.700,12:55:06.900,0.39005092,0.19
DARE,13:33:32.800,13:33:33.075,0.6271873,0.41
DARE,13:33:32.800,13:33:33.135,0.6271873,0.36
DARE,13:45:07.900,13:45:08.470,0.6892972,0.34
DARE,13:46:38.300,13:46:38.000,0.64801025,0.34
DARE,13:52:26.400,13:52:26.190,0.5800688,0.41
DARE,13:52:26.400,13:52:26.235,0.5800688,0.4
DARE,14:10:30.800,14:10:31.040,0.71973264,0.53
DARE,14:21:12.700,14:21:12.380,0.47888893,0.21
DARE,14:21:12.700,14:21:12.615,0.47888893,0.29
DARE,14:23:04.500,14:23:04.235,0.5898938,0.16
DARE,14:27:29.200,14:27:29.045,0.78510445,0.55
DARE,14:55:50.500,14:55:51.390,0.77074647,0.58
DARE,15:06:41.800,15:06:41.660,0.6930096,0.41
DARE,15:20:29.900,15:20:30.040,0.8117503,0.55
DARE,15:22:31.700,15:22:31.920,0.75420505,0.48
DARE,15:33:53.500,15:33:53.215,0.6710198,0.29
DARE,15:50:09.200,15:50:09.245,0.540124,0.32
DARE,15:51:38.800,15:51:39.070,0.5620619,0.41
DARE,15:59:44.700,15:59:44.650,0.72607374,0.42
DARE,15:59:44.700,15:59:44.740,0.72607374,0.58
DARE,16:10:56.400,16:10:56.325,0.7307058,0.72
DARE,16:27:11.900,16:27:11.920,0.73600775,0.41
DARE,16:27:11.900,16:27:11.925,0.73600775,0.58
DARE,16:41:32.900,16:41:33.115,0.7982922,0.56
DARE,16:49:40.400,16:49:40.770,0.6656623,0.28
DARE,16:52:15.200,16:52:15.860,0.8280566,0.64
DARE,17:05:01.400,17:05:02.000,0.71012896,0.57
DARE,17:10:35.900,17:10:35.610,0.6350988,0.33
DARE,17:10:35.900,17:10:35.705,0.6350988,0.42
DARE,17:12:04.800,17:12:05.070,0.756734,0.33
DARE,17:19:25.800,17:19:25.665,0.8984523,0.61
DARE,17:21:46.300,17:21:46.705,0.852668,0.66
DARE,17:22:33.100,17:22:33.150,0.6463922,0.42
DARE,17:35:27.400,17:35:28.285,0.7574415,0.56
