station,Phasenet-EQCCT_Average_pick_time,Kandilli_pick_time,Phasenet_score,EQCCT_score
URFA,14:25:33.900,14:25:34.035,0.7844291,0.429
URFA,14:25:33.900,14:25:34.035,0.7844291,0.52
URFA,14:25:33.900,14:25:34.040,0.7844291,0.393
URFA,14:25:33.900,14:25:34.060,0.7844291,0.171
URFA,14:33:39.900,14:33:40.055,0.50652766,0.35
URFA,14:33:39.900,14:33:40.055,0.50652766,0.364
URFA,14:33:39.900,14:33:40.055,0.50652766,0.312
URFA,14:51:40.300,14:51:39.615,0.8169855,0.185
URFA,14:51:40.300,14:51:39.645,0.8169855,0.416
URFA,14:51:40.300,14:51:39.645,0.8169855,0.421
YAYX,14:45:38.100,14:45:38.880,0.7813078,0.379
YAYX,14:45:38.100,14:45:38.880,0.7813078,0.347
YAYX,14:45:38.100,14:45:38.880,0.7813078,0.367
